方程编号	变量名	参数类型	参数名	对应原始参数
1	nDC	原有参数	k_nDC_f	-
1	nDC	原有参数	k_nDC_d	-
1	nDC	原有参数	k_pDC_Antigen_f	-
1	nDC	新定义参数	k_nDC_f_div_m	k_nDC_f, k_nDC_m
1	nDC	新定义参数	k_mDC_Antigen_IL10_eff	k_mDC_Antigen_f, k_mDC_IL_10_m
1	nDC	新定义参数	k_mDC_GMCSF_IL10_eff	k_mDC_GMCSF_f, k_mDC_GMCSF_m, k_mDC_IL_10_m
2	mDC	原有参数	k_mDC_f	-
2	mDC	原有参数	k_mDC_d	-
2	mDC	新定义参数	k_mDC_Antigen_IL10_eff	k_mDC_Antigen_f, k_mDC_IL_10_m
2	mDC	新定义参数	k_mDC_GMCSF_IL10_eff	k_mDC_GMCSF_f, k_mDC_GMCSF_m, k_mDC_IL_10_m
2	mDC	新定义参数	k_mDC_f_div_m	k_mDC_f, k_mDC_m
3	pDC	原有参数	k_pDC_Antigen_f	-
3	pDC	原有参数	k_pDC_f	-
3	pDC	原有参数	k_pDC_d	-
3	pDC	新定义参数	k_pDC_f_div_m	k_pDC_f, k_pDC_m
4	GMCSF	原有参数	k_GMCSF_Th2_f	-
4	GMCSF	原有参数	k_GMCSF_Th2_Antigen_f	-
4	GMCSF	原有参数	k_GMCSF_act_NK_f	-
4	GMCSF	原有参数	k_GMCSF_d	-
4	GMCSF	新定义参数	k_mDC_GMCSF_d_eff	k_mDC_GMCSF_d, k_mDC_GMCSF_m, k_mDC_IL_10_m
5	IL_33	原有参数	k_IL_33_pDC_f	-
5	IL_33	原有参数	k_IL_33_d	-
5	IL_33	新定义参数	k_act_CD4_IL_33_d_eff	k_act_CD4_IL_33_d, k_Th2_IL_33_m
6	IL_6	原有参数	k_IL_6_pDC_f	-
6	IL_6	原有参数	k_IL_6_mDC_f	-
6	IL_6	原有参数	k_IL_6_d	-
6	IL_6	新定义参数	k_IL_6_TFH_eff	k_IL_6_TFH_f, k_TFH_nTreg_m
6	IL_6	新定义参数	k_TFH_IL_6_d_eff	k_TFH_IL_6_d, k_TFH_IL_6_m
7	IL_12	原有参数	k_IL_12_mDC_f	-
7	IL_12	原有参数	k_IL_12_d	-
7	IL_12	新定义参数	k_act_NK_IL_12_d_eff	k_act_NK_IL_12_d, k_act_NK_IL_12_m
8	IL_15	原有参数	k_IL_15_f	-
8	IL_15	原有参数	k_IL_15_Antigen_f	-
8	IL_15	原有参数	k_IL_15_d	-
8	IL_15	新定义参数	k_naive_CD4_IL_15_d_eff	k_naive_CD4_IL_15_d, k_naive_CD4_IL_15_m
8	IL_15	新定义参数	k_act_CD4_IL_15_d_eff	k_act_CD4_IL_15_d, k_act_CD4_IL_15_m
9	IL_7	原有参数	k_IL_7_f	-
9	IL_7	原有参数	k_IL_7_d	-
9	IL_7	新定义参数	k_naive_CD4_IL_7_d_eff	k_naive_CD4_IL_7_d, k_naive_CD4_IL_7_m
9	IL_7	新定义参数	k_act_CD4_IL_7_d_eff	k_act_CD4_IL_7_d, k_act_CD4_IL_7_m
10	IFN1	原有参数	k_IFN1_pDC_f	-
10	IFN1	原有参数	k_IFN1_d	-
10	IFN1	新定义参数	k_act_CD4_IFN1_d_eff	k_act_CD4_IFN1_d, k_IFN1_CD4_CTL_m
10	IFN1	新定义参数	k_act_NK_IFN1_d_eff	k_act_NK_IFN1_d, k_act_NK_IFN1_m
11	IL_1	原有参数	k_IL_1_mDC_f	-
11	IL_1	原有参数	k_IL_1_d	-
12	IL_2	原有参数	k_IL_2_act_CD4_f	-
12	IL_2	原有参数	k_IL_2_act_CD4_Antigen_f	-
12	IL_2	原有参数	k_IL_2_d	-
12	IL_2	新定义参数	k_act_CD4_IL_2_d_eff	k_act_CD4_IL_2_d, k_act_CD4_IL_2_m
12	IL_2	新定义参数	k_act_NK_IL_2_d_eff	k_act_NK_IL_2_d, k_act_NK_IL_2_m
13	IL_4	原有参数	k_IL_4_Th2_f	-
13	IL_4	原有参数	k_IL_4_Th2_Antigen_f	-
13	IL_4	原有参数	k_IL_4_d	-
13	IL_4	新定义参数	k_act_CD4_IL_4_d_eff	k_act_CD4_IL_4_d, k_Th2_IL_4_m
14	IL_10	原有参数	k_IL_10_iTreg_f	-
14	IL_10	原有参数	k_IL_10_d	-
14	IL_10	新定义参数	k_IL_10_nTreg_eff	k_IL_10_nTreg_f, k_IL_10_nTreg_mDC_m
14	IL_10	新定义参数	k_iTreg_mDC_d_eff	k_iTreg_mDC_d, k_iTreg_IL_10_m
15	TGFbeta	原有参数	k_TGFbeta_iTreg_f	-
15	TGFbeta	原有参数	k_TGFbeta_CD4_CTL_f	-
15	TGFbeta	原有参数	k_TGFbeta_d	-
15	TGFbeta	新定义参数	k_TGFbeta_nTreg_eff	k_TGFbeta_nTreg_f, k_TGFbeta_nTreg_mDC_m
15	TGFbeta	新定义参数	k_iTreg_mDC_d_TGFbeta_eff	k_iTreg_mDC_d, k_iTreg_TGFbeta_m
16	IFN_g	原有参数	k_IFN_g_CD4_CTL_f	-
16	IFN_g	原有参数	k_IFN_g_act_NK_f	-
16	IFN_g	原有参数	k_IFN_g_d	-
16	IFN_g	新定义参数	k_act_NK_IFN_g_d_eff	k_act_NK_IFN_g_d, k_act_NK_IFN_g_m
17	naive_CD4	原有参数	k_CD4_f	-
17	naive_CD4	原有参数	k_naive_CD4_d	-
17	naive_CD4	新定义参数	k_CD4_f_div_m	k_CD4_f, k_CD4_m
17	naive_CD4	新定义参数	k_naive_CD4_IL_15_eff	k_naive_CD4_IL_15_f, k_naive_CD4_IL_15_m
17	naive_CD4	新定义参数	k_naive_CD4_IL_15_eff_div_m	k_naive_CD4_IL_15_f, k_naive_CD4_IL_15_m, k_CD4_m
17	naive_CD4	新定义参数	k_naive_CD4_IL_7_eff	k_naive_CD4_IL_7_f, k_naive_CD4_IL_7_m
17	naive_CD4	新定义参数	k_naive_CD4_IL_7_eff_div_m	k_naive_CD4_IL_7_f, k_naive_CD4_IL_7_m, k_CD4_m
17	naive_CD4	新定义参数	k_act_CD4_mDC_f_eff	k_act_CD4_mDC_f, k_act_CD4_mDC_m
17	naive_CD4	新定义参数	k_act_CD4_IL_2_f_eff	k_act_CD4_IL_2_f, k_act_CD4_IL_2_m
18	act_CD4	原有参数	k_act_CD4_f	-
18	act_CD4	原有参数	k_act_CD4_CTL_basal_f	-
18	act_CD4	原有参数	k_act_CD4_CTL_antigen_f	-
18	act_CD4	原有参数	k_TFH_mDC_f	-
18	act_CD4	原有参数	k_TFH_mDC_Antigen_f	-
