参数类型	参数名	对应原始参数
原有参数	k_Act_B_Antigen_f	-
原有参数	k_Act_B_Antigen_pro_f	-
原有参数	k_Act_B_basal_f	-
原有参数	k_Act_B_d	-
原有参数	k_Act_B_f	-
原有参数	k_CD4_CTL_d	-
原有参数	k_CD4_CTL_f	-
原有参数	k_CD4_f	-
原有参数	k_GMCSF_Th2_Antigen_f	-
原有参数	k_GMCSF_Th2_f	-
原有参数	k_GMCSF_act_NK_f	-
原有参数	k_GMCSF_d	-
原有参数	k_IFN1_d	-
原有参数	k_IFN1_pDC_f	-
原有参数	k_IFN_g_CD4_CTL_f	-
原有参数	k_IFN_g_act_NK_f	-
原有参数	k_IFN_g_d	-
原有参数	k_IL_10_d	-
原有参数	k_IL_10_iTreg_f	-
原有参数	k_IL_12_d	-
原有参数	k_IL_12_mDC_f	-
原有参数	k_IL_15_Antigen_f	-
原有参数	k_IL_15_d	-
原有参数	k_IL_15_f	-
原有参数	k_IL_1_d	-
原有参数	k_IL_1_mDC_f	-
原有参数	k_IL_2_act_CD4_Antigen_f	-
原有参数	k_IL_2_act_CD4_f	-
原有参数	k_IL_2_d	-
原有参数	k_IL_33_d	-
原有参数	k_IL_33_pDC_f	-
原有参数	k_IL_4_Th2_Antigen_f	-
原有参数	k_IL_4_Th2_f	-
原有参数	k_IL_4_d	-
原有参数	k_IL_6_d	-
原有参数	k_IL_6_mDC_f	-
原有参数	k_IL_6_pDC_f	-
原有参数	k_IL_7_d	-
原有参数	k_IL_7_f	-
原有参数	k_IgG4_TD_f	-
原有参数	k_IgG4_TI_f	-
原有参数	k_IgG4_d	-
原有参数	k_NK_d	-
原有参数	k_NK_f	-
原有参数	k_Naive_B_Antigen_f	-
原有参数	k_Naive_B_d	-
原有参数	k_Naive_B_f	-
原有参数	k_TD_IL_4_f	-
原有参数	k_TD_base_f	-
原有参数	k_TD_d	-
原有参数	k_TD_f	-
原有参数	k_TFH_d	-
原有参数	k_TFH_f	-
原有参数	k_TFH_mDC_Antigen_f	-
原有参数	k_TFH_mDC_f	-
原有参数	k_TGFbeta_CD4_CTL_f	-
原有参数	k_TGFbeta_d	-
原有参数	k_TGFbeta_iTreg_f	-
原有参数	k_TI_IFN_g_f	-
原有参数	k_TI_IL_10_f	-
原有参数	k_TI_base_f	-
原有参数	k_TI_d	-
原有参数	k_TI_f	-
原有参数	k_Th2_d	-
原有参数	k_Th2_f	-
原有参数	k_act_CD4_CTL_antigen_f	-
原有参数	k_act_CD4_CTL_basal_f	-
原有参数	k_act_CD4_d	-
原有参数	k_act_CD4_f	-
原有参数	k_act_NK_base_f	-
原有参数	k_act_NK_d	-
原有参数	k_act_NK_f	-
原有参数	k_iTreg_d	-
原有参数	k_iTreg_f	-
原有参数	k_mDC_d	-
原有参数	k_mDC_f	-
原有参数	k_nDC_d	-
原有参数	k_nDC_f	-
原有参数	k_nTreg_d	-
原有参数	k_naive_CD4_d	-
原有参数	k_pDC_Antigen_f	-
原有参数	k_pDC_d	-
原有参数	k_pDC_f	-
新定义参数	k_Act_B_Antigen_pro_f_div_m	k_Act_B_Antigen_pro_f, k_Act_B_m
新定义参数	k_Act_B_f_div_m	k_Act_B_f, k_Act_B_m
新定义参数	k_CD4_CTL_f_div_m	k_CD4_CTL_f, k_CD4_CTL_m
新定义参数	k_CD4_f_div_m	k_CD4_f, k_CD4_m
新定义参数	k_IL_10_nTreg_eff	k_IL_10_nTreg_f, k_IL_10_nTreg_mDC_m
新定义参数	k_IL_6_TFH_eff	k_IL_6_TFH_f, k_TFH_nTreg_m
新定义参数	k_NK_f_div_m	k_NK_f, k_NK_m
