Time	Antigen	nDC	mDC	pDC	naive_CD4	act_CD4	Th2	iTreg	CD4_CTL	nTreg	TFH	CD56 NK	CD16 NK	Naive_B	Act_B	TD Plasma	TI Plasma	GMCSF	IL_33	IL_6	IL_12	IL_15	IL_7	IFN1	IL_1	IL_2	IL_4	IL_10	TGFbeta	IFN_g	IgG4	NK	act_NK	TD_IS_B	TI_IS_B
0.0	0.0	30.0	0.0	0.0	180.0	300.0	0.3	50.0	1.0	10.0	20.0	50.0	200.0	86.0	80.0	1.5	1.0	3000.0	1.0	10000.0	1.0	10000.0	350000.0	1.0	3000.0	5000.0	250.0	4000.0	50.0	200000.0	0.0	50.0	200.0	1.5	1.0
10.0	0.0	30.0	0.0	0.0	180.0	300.0	0.3	50.0	1.0	10.0	20.0	50.0	200.0	86.0	80.0	1.5	1.0	3000.0	1.0	10000.0	1.0	10000.0	350000.0	1.0	3000.0	5000.0	250.0	4000.0	50.0	200000.0	0.0	50.0	200.0	1.5	1.0
20.0	0.0	30.0	0.0	0.0	180.0	300.0	0.3	50.0	1.0	10.0	20.0	50.0	200.0	86.0	80.0	1.5	1.0	3000.0	1.0	10000.0	1.0	10000.0	350000.0	1.0	3000.0	5000.0	250.0	4000.0	50.0	200000.0	0.0	50.0	200.0	1.5	1.0
30.0	0.0	30.0	0.0	0.0	180.0	300.0	0.3	50.0	1.0	10.0	20.0	50.0	200.0	86.0	80.0	1.5	1.0	3000.0	1.0	10000.0	1.0	10000.0	350000.0	1.0	3000.0	5000.0	250.0	4000.0	50.0	200000.0	0.0	50.0	200.0	1.5	1.0
40.0	0.0	30.0	0.0	0.0	180.0	300.0	0.3	50.0	1.0	10.0	20.0	50.0	200.0	86.0	80.0	1.5	1.0	3000.0	1.0	10000.0	1.0	10000.0	350000.0	1.0	3000.0	5000.0	250.0	4000.0	50.0	200000.0	0.0	50.0	200.0	1.5	1.0
50.0	0.0	30.0	0.0	0.0	180.0	300.0	0.3	50.0	1.0	10.0	20.0	50.0	200.0	86.0	80.0	1.5	1.0	3000.0	1.0	10000.0	1.0	10000.0	350000.0	1.0	3000.0	5000.0	250.0	4000.0	50.0	200000.0	0.0	50.0	200.0	1.5	1.0
60.0	0.0	30.0	0.0	0.0	180.0	300.0	0.3	50.0	1.0	10.0	20.0	50.0	200.0	86.0	80.0	1.5	1.0	3000.0	1.0	10000.0	1.0	10000.0	350000.0	1.0	3000.0	5000.0	250.0	4000.0	50.0	200000.0	0.0	50.0	200.0	1.5	1.0
70.0	0.0	30.0	0.0	0.0	180.0	300.0	0.3	50.0	1.0	10.0	20.0	50.0	200.0	86.0	80.0	1.5	1.0	3000.0	1.0	10000.0	1.0	10000.0	350000.0	1.0	3000.0	5000.0	250.0	4000.0	50.0	200000.0	0.0	50.0	200.0	1.5	1.0
80.0	0.0	30.0	0.0	0.0	180.0	300.0	0.3	50.0	1.0	10.0	20.0	50.0	200.0	86.0	80.0	1.5	1.0	3000.0	1.0	10000.0	1.0	10000.0	350000.0	1.0	3000.0	5000.0	250.0	4000.0	50.0	200000.0	0.0	50.0	200.0	1.5	1.0
90.0	0.0	30.0	0.0	0.0	180.0	300.0	0.3	50.0	1.0	10.0	20.0	50.0	200.0	86.0	80.0	1.5	1.0	3000.0	1.0	10000.0	1.0	10000.0	350000.0	1.0	3000.0	5000.0	250.0	4000.0	50.0	200000.0	0.0	50.0	200.0	1.5	1.0
100.0	0.0	30.0	0.0	0.0	180.0	300.0	0.3	50.0	1.0	10.0	20.0	50.0	200.0	86.0	80.0	1.5	1.0	3000.0	1.0	10000.0	1.0	10000.0	350000.0	1.0	3000.0	5000.0	250.0	4000.0	50.0	200000.0	0.0	50.0	200.0	1.5	1.0
200.0	1.0	0.0	20.0	4.0	80.0	500.0	0.3	40.0	3.0	10.0	20.0	25.0	310.0	94.0	85.0	10.0	0.1	5200.0	40000.0	60000.0	20000.0	140000.0	100000.0	1.0	7000.0	13000.0	1800.0	9000.0	50.0	1000000.0	140.0	25.0	310.0	10.0	0.1
210.0	1.0	0.0	20.0	4.0	80.0	500.0	0.3	40.0	3.0	10.0	20.0	25.0	310.0	94.0	85.0	10.0	0.1	5200.0	40000.0	60000.0	20000.0	140000.0	100000.0	1.0	7000.0	13000.0	1800.0	9000.0	50.0	1000000.0	140.0	25.0	310.0	10.0	0.1
220.0	1.0	0.0	20.0	4.0	80.0	500.0	0.3	40.0	3.0	10.0	20.0	25.0	310.0	94.0	85.0	10.0	0.1	5200.0	40000.0	60000.0	20000.0	140000.0	100000.0	1.0	7000.0	13000.0	1800.0	9000.0	50.0	1000000.0	140.0	25.0	310.0	10.0	0.1
230.0	1.0	0.0	20.0	4.0	80.0	500.0	0.3	40.0	3.0	10.0	20.0	25.0	310.0	94.0	85.0	10.0	0.1	5200.0	40000.0	60000.0	20000.0	140000.0	100000.0	1.0	7000.0	13000.0	1800.0	9000.0	50.0	1000000.0	140.0	25.0	310.0	10.0	0.1
240.0	1.0	0.0	20.0	4.0	80.0	500.0	0.3	40.0	3.0	10.0	20.0	25.0	310.0	94.0	85.0	10.0	0.1	5200.0	40000.0	60000.0	20000.0	140000.0	100000.0	1.0	7000.0	13000.0	1800.0	9000.0	50.0	1000000.0	140.0	25.0	310.0	10.0	0.1
250.0	1.0	0.0	20.0	4.0	80.0	500.0	0.3	40.0	3.0	10.0	20.0	25.0	310.0	94.0	85.0	10.0	0.1	5200.0	40000.0	60000.0	20000.0	140000.0	100000.0	1.0	7000.0	13000.0	1800.0	9000.0	50.0	1000000.0	140.0	25.0	310.0	10.0	0.1
260.0	1.0	0.0	20.0	4.0	80.0	500.0	0.3	40.0	3.0	10.0	20.0	25.0	310.0	94.0	85.0	10.0	0.1	5200.0	40000.0	60000.0	20000.0	140000.0	100000.0	1.0	7000.0	13000.0	1800.0	9000.0	50.0	1000000.0	140.0	25.0	310.0	10.0	0.1
270.0	1.0	0.0	20.0	4.0	80.0	500.0	0.3	40.0	3.0	10.0	20.0	25.0	310.0	94.0	85.0	10.0	0.1	5200.0	40000.0	60000.0	20000.0	140000.0	100000.0	1.0	7000.0	13000.0	1800.0	9000.0	50.0	1000000.0	140.0	25.0	310.0	10.0	0.1
